ERROR 2018-10-23 16:32:17,341 exception 80 Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2018-10-23 16:32:17,749 basehttp 124 "GET / HTTP/1.1" 400 71225
ERROR 2018-10-23 16:32:18,074 exception 80 Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2018-10-23 16:32:18,271 basehttp 124 "GET / HTTP/1.1" 400 71225
ERROR 2018-10-23 16:32:18,332 exception 80 Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2018-10-23 16:32:18,508 basehttp 124 "GET /favicon.ico HTTP/1.1" 400 71278
ERROR 2018-10-23 16:32:18,597 exception 80 Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2018-10-23 16:32:18,753 basehttp 124 "GET /favicon.ico HTTP/1.1" 400 71278
INFO 2018-10-23 16:32:27,841 basehttp 124 "GET / HTTP/1.1" 200 1714
WARNING 2018-10-23 16:32:28,016 base 152 Not Found: /favicon.ico
WARNING 2018-10-23 16:32:28,018 basehttp 124 "GET /favicon.ico HTTP/1.1" 404 1968
WARNING 2018-10-23 16:54:55,870 base 152 Not Found: /mobiles/15829651274/count/
WARNING 2018-10-23 16:54:55,874 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 404 2013
WARNING 2018-10-23 16:54:58,472 base 152 Not Found: /mobiles/15829651274/count/
WARNING 2018-10-23 16:54:58,475 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 404 2013
ERROR 2018-10-23 16:54:58,583 exception 80 Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2018-10-23 16:54:58,595 base 152 Not Found: /mobiles/15829651274/count/
WARNING 2018-10-23 16:54:58,597 basehttp 124 "GET /mobiles/15829651274/count/ HTTP/1.1" 404 2013
